page 26	荃灣大會堂擧行座無虛設民歌演唱會極吸引知音人站場邊欣賞四類民歌悅耳動聽令人沉醉
page 27	大陸法院錯判案件四年逾三萬二千宗
page 27	大學畢業生無選擇均須服從國家分配
page 27	台灣十萬民衆清明前往大陸
page 27	台灣資訊服務業將組團訪問大陸
page 27	汕頭利用防空洞辦各項服務項目
page 32	大三川崎年中合辦泛太平洋航運服務大阪三井新貨運中心落成啟用
page 32	港府批八號碼頭一開二　二開四
page 32	美國中途航空公司破產
page 32	最暢銷噴射機　七三七第二千架由德國航接收
page 32	英航投鉅資改善經濟客位服務以閑適細緻為主題嶄新設計享受更佳
page 32	大陸旅遊業行內仍看好
page 32	粵省口岸增加通過能力提高
page 32	圖　英航推出兩款　旅遊者　系列客位　服務更進一步　又豈止一般經濟客位那麼簡單
page 32	圖　第二千架七三七波音機已交付予德航
